 INFO  Accepting connections at http://localhost:3000
 HTTP  29/8/2026 8:56:27 p. m. ::1 GET /assets/css/styles.css
 HTTP  29/8/2026 8:56:27 p. m. ::1 GET /assets/js/api.js
 HTTP  29/8/2026 8:56:27 p. m. ::1 Returned 200 in 4 ms
 HTTP  29/8/2026 8:56:27 p. m. ::1 Returned 200 in 3 ms
 HTTP  29/8/2026 8:56:27 p. m. ::1 GET /login.html
 HTTP  29/8/2026 8:56:27 p. m. ::1 Returned 200 in 2 ms
 HTTP  29/8/2026 8:56:27 p. m. ::1 GET /assets/css/styles.css
 HTTP  29/8/2026 8:56:27 p. m. ::1 GET /assets/js/api.js
 HTTP  29/8/2026 8:56:27 p. m. ::1 Returned 200 in 3 ms
 HTTP  29/8/2026 8:56:27 p. m. ::1 Returned 200 in 2 ms
 HTTP  29/8/2026 8:56:27 p. m. ::1 GET /registro.html
 HTTP  29/8/2026 8:56:27 p. m. ::1 Returned 200 in 5 ms
 HTTP  29/8/2026 8:56:27 p. m. ::1 GET /assets/css/styles.css
 HTTP  29/8/2026 8:56:27 p. m. ::1 Returned 200 in 3 ms
 HTTP  29/8/2026 8:56:27 p. m. ::1 GET /assets/js/api.js
 HTTP  29/8/2026 8:56:27 p. m. ::1 Returned 200 in 2 ms
 HTTP  29/8/2026 8:56:27 p. m. ::1 GET /registro.html
 HTTP  29/8/2026 8:56:27 p. m. ::1 Returned 200 in 3 ms
 HTTP  29/8/2026 8:56:27 p. m. ::1 GET /assets/css/styles.css
 HTTP  29/8/2026 8:56:27 p. m. ::1 GET /assets/js/api.js
 HTTP  29/8/2026 8:56:27 p. m. ::1 Returned 200 in 6 ms
 HTTP  29/8/2026 8:56:27 p. m. ::1 Returned 200 in 4 ms
 HTTP  29/8/2026 8:56:27 p. m. ::1 GET /login.html
 HTTP  29/8/2026 8:56:27 p. m. ::1 Returned 200 in 7 ms
 HTTP  29/8/2026 8:56:27 p. m. ::1 GET /assets/css/styles.css
 HTTP  29/8/2026 8:56:27 p. m. ::1 Returned 200 in 3 ms
 HTTP  29/8/2026 8:56:27 p. m. ::1 GET /assets/js/api.js
 HTTP  29/8/2026 8:56:27 p. m. ::1 Returned 200 in 8 ms
 HTTP  29/8/2026 8:56:27 p. m. ::1 GET /login.html
 HTTP  29/8/2026 8:56:27 p. m. ::1 Returned 200 in 4 ms
 HTTP  29/8/2026 8:56:27 p. m. ::1 GET /assets/css/styles.css
 HTTP  29/8/2026 8:56:27 p. m. ::1 Returned 200 in 3 ms
 HTTP  29/8/2026 8:56:27 p. m. ::1 GET /assets/js/api.js
 HTTP  29/8/2026 8:56:27 p. m. ::1 Returned 200 in 1 ms
 HTTP  29/8/2026 8:56:28 p. m. ::1 GET /index.html
 HTTP  29/8/2026 8:56:29 p. m. ::1 GET /index.html
 HTTP  29/8/2026 8:56:29 p. m. ::1 Returned 200 in 1 ms
 HTTP  29/8/2026 8:56:28 p. m. ::1 Returned 200 in 2 ms
 HTTP  29/8/2026 8:56:29 p. m. ::1 GET /assets/css/styles.css
 HTTP  29/8/2026 8:56:29 p. m. ::1 GET /assets/css/styles.css
 HTTP  29/8/2026 8:56:29 p. m. ::1 GET /assets/js/api.js
 HTTP  29/8/2026 8:56:29 p. m. ::1 Returned 304 in 2 ms
 HTTP  29/8/2026 8:56:29 p. m. ::1 Returned 304 in 1 ms
 HTTP  29/8/2026 8:56:29 p. m. ::1 Returned 304 in 2 ms
 HTTP  29/8/2026 8:56:29 p. m. ::1 GET /assets/js/main.js
 HTTP  29/8/2026 8:56:29 p. m. ::1 GET /assets/js/api.js
 HTTP  29/8/2026 8:56:29 p. m. ::1 GET /assets/js/main.js
 HTTP  29/8/2026 8:56:29 p. m. ::1 Returned 304 in 1 ms
 HTTP  29/8/2026 8:56:29 p. m. ::1 Returned 200 in 2 ms
 HTTP  29/8/2026 8:56:29 p. m. ::1 Returned 200 in 2 ms
 HTTP  29/8/2026 8:56:29 p. m. ::1 GET /pages/inventario.html
 HTTP  29/8/2026 8:56:29 p. m. ::1 Returned 200 in 2 ms
 HTTP  29/8/2026 8:56:29 p. m. ::1 GET /assets/css/styles.css
 HTTP  29/8/2026 8:56:29 p. m. ::1 GET /assets/js/api.js
 HTTP  29/8/2026 8:56:29 p. m. ::1 GET /assets/js/main.js
 HTTP  29/8/2026 8:56:29 p. m. ::1 Returned 304 in 2 ms
 HTTP  29/8/2026 8:56:29 p. m. ::1 Returned 304 in 1 ms
 HTTP  29/8/2026 8:56:29 p. m. ::1 Returned 304 in 1 ms
 HTTP  29/8/2026 8:56:29 p. m. ::1 GET /index.html
 HTTP  29/8/2026 8:56:29 p. m. ::1 Returned 200 in 1 ms
 HTTP  29/8/2026 8:56:29 p. m. ::1 GET /assets/css/styles.css
 HTTP  29/8/2026 8:56:29 p. m. ::1 Returned 304 in 1 ms
 HTTP  29/8/2026 8:56:29 p. m. ::1 GET /assets/js/main.js
 HTTP  29/8/2026 8:56:29 p. m. ::1 GET /assets/js/api.js
 HTTP  29/8/2026 8:56:29 p. m. ::1 Returned 200 in 1 ms
 HTTP  29/8/2026 8:56:29 p. m. ::1 Returned 304 in 0 ms
 HTTP  29/8/2026 8:56:29 p. m. ::1 GET /index.html
 HTTP  29/8/2026 8:56:29 p. m. ::1 Returned 200 in 1 ms
 HTTP  29/8/2026 8:56:29 p. m. ::1 GET /assets/css/styles.css
 HTTP  29/8/2026 8:56:29 p. m. ::1 Returned 304 in 2 ms
 HTTP  29/8/2026 8:56:29 p. m. ::1 GET /assets/js/main.js
 HTTP  29/8/2026 8:56:29 p. m. ::1 GET /assets/js/api.js
 HTTP  29/8/2026 8:56:29 p. m. ::1 Returned 200 in 1 ms
 HTTP  29/8/2026 8:56:29 p. m. ::1 Returned 304 in 1 ms
 HTTP  29/8/2026 8:56:29 p. m. ::1 GET /pages/configuracion.html
 HTTP  29/8/2026 8:56:29 p. m. ::1 Returned 200 in 2 ms
 HTTP  29/8/2026 8:56:29 p. m. ::1 GET /assets/css/styles.css
 HTTP  29/8/2026 8:56:29 p. m. ::1 GET /assets/js/api.js
 HTTP  29/8/2026 8:56:29 p. m. ::1 GET /assets/js/main.js
 HTTP  29/8/2026 8:56:29 p. m. ::1 Returned 304 in 1 ms
 HTTP  29/8/2026 8:56:29 p. m. ::1 Returned 304 in 0 ms
 HTTP  29/8/2026 8:56:29 p. m. ::1 Returned 304 in 1 ms
 HTTP  29/8/2026 8:56:29 p. m. ::1 GET /index.html
 HTTP  29/8/2026 8:56:29 p. m. ::1 Returned 304 in 0 ms
 HTTP  29/8/2026 8:56:29 p. m. ::1 GET /assets/css/styles.css
 HTTP  29/8/2026 8:56:29 p. m. ::1 GET /assets/js/api.js
 HTTP  29/8/2026 8:56:29 p. m. ::1 GET /assets/js/main.js
 HTTP  29/8/2026 8:56:29 p. m. ::1 Returned 304 in 0 ms
 HTTP  29/8/2026 8:56:29 p. m. ::1 Returned 304 in 1 ms
 HTTP  29/8/2026 8:56:29 p. m. ::1 Returned 304 in 1 ms
 HTTP  29/8/2026 8:56:29 p. m. ::1 GET /index.html
 HTTP  29/8/2026 8:56:29 p. m. ::1 GET /index.html
 HTTP  29/8/2026 8:56:29 p. m. ::1 Returned 200 in 2 ms
 HTTP  29/8/2026 8:56:29 p. m. ::1 Returned 200 in 1 ms
 HTTP  29/8/2026 8:56:29 p. m. ::1 GET /assets/css/styles.css
 HTTP  29/8/2026 8:56:29 p. m. ::1 GET /assets/css/styles.css
 HTTP  29/8/2026 8:56:29 p. m. ::1 Returned 304 in 2 ms
 HTTP  29/8/2026 8:56:29 p. m. ::1 GET /assets/js/main.js
 HTTP  29/8/2026 8:56:29 p. m. ::1 GET /assets/js/main.js
 HTTP  29/8/2026 8:56:29 p. m. ::1 GET /assets/js/api.js
 HTTP  29/8/2026 8:56:29 p. m. ::1 GET /assets/js/api.js
 HTTP  29/8/2026 8:56:29 p. m. ::1 Returned 304 in 3 ms
 HTTP  29/8/2026 8:56:29 p. m. ::1 Returned 200 in 2 ms
 HTTP  29/8/2026 8:56:29 p. m. ::1 Returned 200 in 2 ms
 HTTP  29/8/2026 8:56:29 p. m. ::1 Returned 304 in 2 ms
 HTTP  29/8/2026 8:56:29 p. m. ::1 Returned 304 in 2 ms
 HTTP  29/8/2026 8:56:29 p. m. ::1 GET /pages/mascotas.html
 HTTP  29/8/2026 8:56:29 p. m. ::1 GET /pages/pagos.html
 HTTP  29/8/2026 8:56:29 p. m. ::1 Returned 200 in 4 ms
 HTTP  29/8/2026 8:56:29 p. m. ::1 Returned 200 in 3 ms
 HTTP  29/8/2026 8:56:29 p. m. ::1 GET /assets/css/styles.css
 HTTP  29/8/2026 8:56:29 p. m. ::1 GET /assets/css/styles.css
 HTTP  29/8/2026 8:56:29 p. m. ::1 GET /assets/js/api.js
 HTTP  29/8/2026 8:56:29 p. m. ::1 GET /assets/js/api.js
 HTTP  29/8/2026 8:56:29 p. m. ::1 GET /assets/js/main.js
 HTTP  29/8/2026 8:56:29 p. m. ::1 GET /assets/js/main.js
 HTTP  29/8/2026 8:56:29 p. m. ::1 Returned 304 in 3 ms
 HTTP  29/8/2026 8:56:29 p. m. ::1 Returned 304 in 3 ms
 HTTP  29/8/2026 8:56:29 p. m. ::1 Returned 304 in 2 ms
 HTTP  29/8/2026 8:56:29 p. m. ::1 Returned 304 in 2 ms
 HTTP  29/8/2026 8:56:29 p. m. ::1 Returned 304 in 2 ms
 HTTP  29/8/2026 8:56:29 p. m. ::1 Returned 304 in 2 ms
 HTTP  29/8/2026 8:56:29 p. m. ::1 GET /pages/mascota-form.html
 HTTP  29/8/2026 8:56:29 p. m. ::1 Returned 200 in 1 ms
 HTTP  29/8/2026 8:56:29 p. m. ::1 GET /assets/css/styles.css
 HTTP  29/8/2026 8:56:29 p. m. ::1 Returned 304 in 2 ms
 HTTP  29/8/2026 8:56:29 p. m. ::1 GET /assets/js/forms.js
 HTTP  29/8/2026 8:56:29 p. m. ::1 GET /assets/js/api.js
 HTTP  29/8/2026 8:56:29 p. m. ::1 GET /assets/js/main.js
 HTTP  29/8/2026 8:56:29 p. m. ::1 Returned 304 in 1 ms
 HTTP  29/8/2026 8:56:29 p. m. ::1 Returned 304 in 1 ms
 HTTP  29/8/2026 8:56:29 p. m. ::1 Returned 200 in 3 ms
 HTTP  29/8/2026 8:56:29 p. m. ::1 GET /pages/pago-form.html
 HTTP  29/8/2026 8:56:29 p. m. ::1 Returned 200 in 2 ms
 HTTP  29/8/2026 8:56:29 p. m. ::1 GET /assets/css/styles.css
 HTTP  29/8/2026 8:56:29 p. m. ::1 Returned 304 in 2 ms
 HTTP  29/8/2026 8:56:29 p. m. ::1 GET /assets/js/forms.js
 HTTP  29/8/2026 8:56:29 p. m. ::1 GET /assets/js/api.js
 HTTP  29/8/2026 8:56:29 p. m. ::1 GET /assets/js/main.js
 HTTP  29/8/2026 8:56:29 p. m. ::1 Returned 200 in 4 ms
 HTTP  29/8/2026 8:56:29 p. m. ::1 Returned 304 in 5 ms
 HTTP  29/8/2026 8:56:29 p. m. ::1 Returned 304 in 4 ms
 HTTP  29/8/2026 8:56:29 p. m. ::1 GET /pages/mascotas.html
 HTTP  29/8/2026 8:56:29 p. m. ::1 GET /pages/pagos.html
 HTTP  29/8/2026 8:56:29 p. m. ::1 Returned 304 in 1 ms
 HTTP  29/8/2026 8:56:29 p. m. ::1 Returned 304 in 1 ms
 HTTP  29/8/2026 8:56:29 p. m. ::1 GET /assets/css/styles.css
 HTTP  29/8/2026 8:56:29 p. m. ::1 GET /assets/css/styles.css
 HTTP  29/8/2026 8:56:29 p. m. ::1 GET /assets/js/api.js
 HTTP  29/8/2026 8:56:29 p. m. ::1 GET /assets/js/api.js
 HTTP  29/8/2026 8:56:29 p. m. ::1 GET /assets/js/main.js
 HTTP  29/8/2026 8:56:29 p. m. ::1 GET /assets/js/main.js
 HTTP  29/8/2026 8:56:29 p. m. ::1 Returned 304 in 2 ms
 HTTP  29/8/2026 8:56:29 p. m. ::1 Returned 304 in 2 ms
 HTTP  29/8/2026 8:56:29 p. m. ::1 Returned 304 in 2 ms
 HTTP  29/8/2026 8:56:29 p. m. ::1 Returned 304 in 2 ms
 HTTP  29/8/2026 8:56:29 p. m. ::1 Returned 304 in 2 ms
 HTTP  29/8/2026 8:56:29 p. m. ::1 Returned 304 in 3 ms
 HTTP  29/8/2026 8:56:30 p. m. ::1 GET /login.html
 HTTP  29/8/2026 8:56:30 p. m. ::1 Returned 200 in 2 ms
 HTTP  29/8/2026 8:56:30 p. m. ::1 GET /assets/css/styles.css
 HTTP  29/8/2026 8:56:30 p. m. ::1 Returned 200 in 2 ms
 HTTP  29/8/2026 8:56:30 p. m. ::1 GET /assets/js/api.js
 HTTP  29/8/2026 8:56:30 p. m. ::1 Returned 200 in 1 ms
 HTTP  29/8/2026 8:56:30 p. m. ::1 GET /index.html
 HTTP  29/8/2026 8:56:30 p. m. ::1 Returned 200 in 0 ms
 HTTP  29/8/2026 8:56:30 p. m. ::1 GET /assets/css/styles.css
 HTTP  29/8/2026 8:56:30 p. m. ::1 Returned 304 in 1 ms
 HTTP  29/8/2026 8:56:30 p. m. ::1 GET /assets/js/main.js
 HTTP  29/8/2026 8:56:30 p. m. ::1 GET /assets/js/api.js
 HTTP  29/8/2026 8:56:30 p. m. ::1 Returned 200 in 1 ms
 HTTP  29/8/2026 8:56:30 p. m. ::1 Returned 304 in 0 ms
 HTTP  29/8/2026 8:56:30 p. m. ::1 GET /pages/mascotas.html
 HTTP  29/8/2026 8:56:30 p. m. ::1 Returned 200 in 1 ms
 HTTP  29/8/2026 8:56:30 p. m. ::1 GET /assets/css/styles.css
 HTTP  29/8/2026 8:56:30 p. m. ::1 GET /assets/js/api.js
 HTTP  29/8/2026 8:56:30 p. m. ::1 GET /assets/js/main.js
 HTTP  29/8/2026 8:56:30 p. m. ::1 Returned 304 in 1 ms
 HTTP  29/8/2026 8:56:30 p. m. ::1 Returned 304 in 1 ms
 HTTP  29/8/2026 8:56:30 p. m. ::1 Returned 304 in 0 ms
 HTTP  29/8/2026 8:56:30 p. m. ::1 GET /login.html
 HTTP  29/8/2026 8:56:30 p. m. ::1 Returned 200 in 1 ms
 HTTP  29/8/2026 8:56:30 p. m. ::1 GET /assets/css/styles.css
 HTTP  29/8/2026 8:56:30 p. m. ::1 Returned 200 in 1 ms
 HTTP  29/8/2026 8:56:30 p. m. ::1 GET /assets/js/api.js
 HTTP  29/8/2026 8:56:30 p. m. ::1 Returned 200 in 0 ms
 HTTP  29/8/2026 8:56:30 p. m. ::1 GET /index.html
 HTTP  29/8/2026 8:56:30 p. m. ::1 Returned 200 in 0 ms
 HTTP  29/8/2026 8:56:30 p. m. ::1 GET /assets/css/styles.css
 HTTP  29/8/2026 8:56:30 p. m. ::1 Returned 304 in 1 ms
 HTTP  29/8/2026 8:56:30 p. m. ::1 GET /assets/js/main.js
 HTTP  29/8/2026 8:56:30 p. m. ::1 GET /assets/js/api.js
 HTTP  29/8/2026 8:56:30 p. m. ::1 Returned 200 in 1 ms
 HTTP  29/8/2026 8:56:30 p. m. ::1 Returned 304 in 0 ms
 HTTP  29/8/2026 8:56:30 p. m. ::1 GET /pages/mascotas.html
 HTTP  29/8/2026 8:56:30 p. m. ::1 Returned 200 in 1 ms
 HTTP  29/8/2026 8:56:30 p. m. ::1 GET /assets/css/styles.css
 HTTP  29/8/2026 8:56:30 p. m. ::1 GET /assets/js/api.js
 HTTP  29/8/2026 8:56:30 p. m. ::1 GET /assets/js/main.js
 HTTP  29/8/2026 8:56:30 p. m. ::1 Returned 304 in 2 ms
 HTTP  29/8/2026 8:56:30 p. m. ::1 Returned 304 in 1 ms
 HTTP  29/8/2026 8:56:30 p. m. ::1 Returned 304 in 1 ms
 HTTP  29/8/2026 8:56:37 p. m. ::1 GET /
 HTTP  29/8/2026 8:56:37 p. m. ::1 Returned 200 in 2 ms
 HTTP  29/8/2026 8:56:37 p. m. ::1 GET /
 HTTP  29/8/2026 8:56:37 p. m. ::1 Returned 200 in 1 ms
 HTTP  29/8/2026 8:56:38 p. m. ::1 GET /login.html
 HTTP  29/8/2026 8:56:38 p. m. ::1 Returned 200 in 3 ms
 HTTP  29/8/2026 8:56:38 p. m. ::1 GET /login.html
 HTTP  29/8/2026 8:56:38 p. m. ::1 Returned 200 in 2 ms
 HTTP  29/8/2026 8:56:38 p. m. ::1 GET /assets/css/styles.css
 HTTP  29/8/2026 8:56:38 p. m. ::1 GET /assets/css/styles.css
 HTTP  29/8/2026 8:56:38 p. m. ::1 GET /assets/js/api.js
 HTTP  29/8/2026 8:56:38 p. m. ::1 GET /assets/js/api.js
 HTTP  29/8/2026 8:56:38 p. m. ::1 Returned 200 in 5 ms
 HTTP  29/8/2026 8:56:38 p. m. ::1 Returned 200 in 3 ms
 HTTP  29/8/2026 8:56:38 p. m. ::1 Returned 200 in 3 ms
 HTTP  29/8/2026 8:56:38 p. m. ::1 Returned 200 in 2 ms
 HTTP  29/8/2026 8:56:38 p. m. ::1 GET /login.html
 HTTP  29/8/2026 8:56:38 p. m. ::1 Returned 200 in 3 ms
 HTTP  29/8/2026 8:56:38 p. m. ::1 GET /assets/css/styles.css
 HTTP  29/8/2026 8:56:38 p. m. ::1 Returned 200 in 3 ms
 HTTP  29/8/2026 8:56:38 p. m. ::1 GET /assets/js/api.js
 HTTP  29/8/2026 8:56:38 p. m. ::1 Returned 200 in 1 ms
 HTTP  29/8/2026 8:56:38 p. m. ::1 GET /login.html
 HTTP  29/8/2026 8:56:38 p. m. ::1 Returned 200 in 2 ms
 HTTP  29/8/2026 8:56:38 p. m. ::1 GET /assets/css/styles.css
 HTTP  29/8/2026 8:56:38 p. m. ::1 GET /assets/js/api.js
 HTTP  29/8/2026 8:56:38 p. m. ::1 Returned 200 in 2 ms
 HTTP  29/8/2026 8:56:38 p. m. ::1 Returned 200 in 2 ms
 HTTP  29/8/2026 8:56:38 p. m. ::1 GET /login.html
 HTTP  29/8/2026 8:56:38 p. m. ::1 Returned 200 in 2 ms
 HTTP  29/8/2026 8:56:38 p. m. ::1 GET /assets/css/styles.css
 HTTP  29/8/2026 8:56:38 p. m. ::1 GET /assets/js/api.js
 HTTP  29/8/2026 8:56:38 p. m. ::1 Returned 200 in 4 ms
 HTTP  29/8/2026 8:56:38 p. m. ::1 Returned 200 in 3 ms
 HTTP  29/8/2026 8:56:38 p. m. ::1 GET /registro.html
 HTTP  29/8/2026 8:56:38 p. m. ::1 Returned 200 in 2 ms
 HTTP  29/8/2026 8:56:38 p. m. ::1 GET /assets/css/styles.css
 HTTP  29/8/2026 8:56:38 p. m. ::1 GET /assets/js/api.js
 HTTP  29/8/2026 8:56:38 p. m. ::1 Returned 200 in 7 ms
 HTTP  29/8/2026 8:56:38 p. m. ::1 Returned 200 in 6 ms
 HTTP  29/8/2026 8:56:38 p. m. ::1 GET /login.html
 HTTP  29/8/2026 8:56:38 p. m. ::1 Returned 200 in 3 ms
 HTTP  29/8/2026 8:56:38 p. m. ::1 GET /assets/css/styles.css
 HTTP  29/8/2026 8:56:38 p. m. ::1 GET /assets/js/api.js
 HTTP  29/8/2026 8:56:38 p. m. ::1 Returned 200 in 5 ms
 HTTP  29/8/2026 8:56:38 p. m. ::1 Returned 200 in 3 ms
 HTTP  29/8/2026 8:56:38 p. m. ::1 GET /registro.html
 HTTP  29/8/2026 8:56:38 p. m. ::1 Returned 200 in 3 ms
 HTTP  29/8/2026 8:56:39 p. m. ::1 GET /assets/css/styles.css
 HTTP  29/8/2026 8:56:39 p. m. ::1 GET /assets/js/api.js
 HTTP  29/8/2026 8:56:39 p. m. ::1 Returned 200 in 6 ms
 HTTP  29/8/2026 8:56:39 p. m. ::1 Returned 200 in 6 ms
 HTTP  29/8/2026 8:56:39 p. m. ::1 GET /index.html
 HTTP  29/8/2026 8:56:39 p. m. ::1 Returned 200 in 1 ms
 HTTP  29/8/2026 8:56:39 p. m. ::1 GET /assets/css/styles.css
 HTTP  29/8/2026 8:56:39 p. m. ::1 Returned 304 in 1 ms
 HTTP  29/8/2026 8:56:39 p. m. ::1 GET /assets/js/main.js
 HTTP  29/8/2026 8:56:39 p. m. ::1 GET /assets/js/api.js
 HTTP  29/8/2026 8:56:39 p. m. ::1 Returned 200 in 1 ms
 HTTP  29/8/2026 8:56:39 p. m. ::1 Returned 304 in 2 ms
 HTTP  29/8/2026 8:56:39 p. m. ::1 GET /index.html
 HTTP  29/8/2026 8:56:39 p. m. ::1 GET /index.html
 HTTP  29/8/2026 8:56:39 p. m. ::1 Returned 200 in 3 ms
 HTTP  29/8/2026 8:56:39 p. m. ::1 Returned 200 in 1 ms
 HTTP  29/8/2026 8:56:39 p. m. ::1 GET /assets/css/styles.css
 HTTP  29/8/2026 8:56:39 p. m. ::1 GET /assets/css/styles.css
 HTTP  29/8/2026 8:56:39 p. m. ::1 GET /assets/js/main.js
 HTTP  29/8/2026 8:56:39 p. m. ::1 GET /assets/js/main.js
 HTTP  29/8/2026 8:56:39 p. m. ::1 GET /assets/js/api.js
 HTTP  29/8/2026 8:56:39 p. m. ::1 GET /assets/js/api.js
 HTTP  29/8/2026 8:56:39 p. m. ::1 Returned 304 in 5 ms
 HTTP  29/8/2026 8:56:39 p. m. ::1 Returned 304 in 5 ms
 HTTP  29/8/2026 8:56:39 p. m. ::1 Returned 200 in 4 ms
 HTTP  29/8/2026 8:56:39 p. m. ::1 Returned 200 in 4 ms
 HTTP  29/8/2026 8:56:39 p. m. ::1 Returned 304 in 3 ms
 HTTP  29/8/2026 8:56:39 p. m. ::1 Returned 304 in 3 ms
 HTTP  29/8/2026 8:56:39 p. m. ::1 GET /pages/inventario.html
 HTTP  29/8/2026 8:56:39 p. m. ::1 GET /pages/mascotas.html
 HTTP  29/8/2026 8:56:39 p. m. ::1 Returned 200 in 2 ms
 HTTP  29/8/2026 8:56:39 p. m. ::1 Returned 200 in 1 ms
 HTTP  29/8/2026 8:56:39 p. m. ::1 GET /assets/css/styles.css
 HTTP  29/8/2026 8:56:39 p. m. ::1 GET /assets/css/styles.css
 HTTP  29/8/2026 8:56:39 p. m. ::1 GET /assets/js/api.js
 HTTP  29/8/2026 8:56:39 p. m. ::1 GET /assets/js/api.js
 HTTP  29/8/2026 8:56:39 p. m. ::1 GET /assets/js/main.js
 HTTP  29/8/2026 8:56:39 p. m. ::1 GET /assets/js/main.js
 HTTP  29/8/2026 8:56:39 p. m. ::1 Returned 304 in 4 ms
 HTTP  29/8/2026 8:56:39 p. m. ::1 Returned 304 in 6 ms
 HTTP  29/8/2026 8:56:39 p. m. ::1 Returned 304 in 4 ms
 HTTP  29/8/2026 8:56:39 p. m. ::1 Returned 304 in 5 ms
 HTTP  29/8/2026 8:56:39 p. m. ::1 Returned 304 in 4 ms
 HTTP  29/8/2026 8:56:39 p. m. ::1 Returned 304 in 4 ms
 HTTP  29/8/2026 8:56:39 p. m. ::1 GET /index.html
 HTTP  29/8/2026 8:56:39 p. m. ::1 Returned 200 in 2 ms
 HTTP  29/8/2026 8:56:40 p. m. ::1 GET /assets/css/styles.css
 HTTP  29/8/2026 8:56:40 p. m. ::1 GET /assets/js/main.js
 HTTP  29/8/2026 8:56:40 p. m. ::1 GET /assets/js/api.js
 HTTP  29/8/2026 8:56:40 p. m. ::1 Returned 304 in 5 ms
 HTTP  29/8/2026 8:56:40 p. m. ::1 Returned 200 in 3 ms
 HTTP  29/8/2026 8:56:40 p. m. ::1 Returned 304 in 3 ms
 HTTP  29/8/2026 8:56:40 p. m. ::1 GET /pages/pagos.html
 HTTP  29/8/2026 8:56:40 p. m. ::1 Returned 200 in 1 ms
 HTTP  29/8/2026 8:56:40 p. m. ::1 GET /assets/css/styles.css
 HTTP  29/8/2026 8:56:40 p. m. ::1 GET /assets/js/api.js
 HTTP  29/8/2026 8:56:40 p. m. ::1 GET /assets/js/main.js
 HTTP  29/8/2026 8:56:40 p. m. ::1 Returned 304 in 3 ms
 HTTP  29/8/2026 8:56:40 p. m. ::1 Returned 304 in 3 ms
 HTTP  29/8/2026 8:56:40 p. m. ::1 Returned 304 in 2 ms
 HTTP  29/8/2026 8:56:40 p. m. ::1 GET /index.html
 HTTP  29/8/2026 8:56:40 p. m. ::1 Returned 200 in 1 ms
 HTTP  29/8/2026 8:56:40 p. m. ::1 GET /assets/css/styles.css
 HTTP  29/8/2026 8:56:40 p. m. ::1 GET /assets/js/main.js
 HTTP  29/8/2026 8:56:40 p. m. ::1 GET /assets/js/api.js
 HTTP  29/8/2026 8:56:40 p. m. ::1 Returned 304 in 3 ms
 HTTP  29/8/2026 8:56:40 p. m. ::1 Returned 200 in 2 ms
 HTTP  29/8/2026 8:56:40 p. m. ::1 Returned 304 in 2 ms
 HTTP  29/8/2026 8:56:40 p. m. ::1 GET /pages/mascota-form.html
 HTTP  29/8/2026 8:56:40 p. m. ::1 GET /pages/configuracion.html
 HTTP  29/8/2026 8:56:40 p. m. ::1 Returned 200 in 2 ms
 HTTP  29/8/2026 8:56:40 p. m. ::1 Returned 200 in 1 ms
 HTTP  29/8/2026 8:56:40 p. m. ::1 GET /assets/css/styles.css
 HTTP  29/8/2026 8:56:40 p. m. ::1 GET /assets/js/api.js
